AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,SP500
93.82,265.15,138.01,36.45,115.91,102.74,236.43,172.06,151.77,2597.08
93.48,265.88,137.39,36.49,116.51,102.64,235.95,172.33,151.84,2602.42
93.47,265.58,137.19,36.87,115.59,102.79,235.11,174.16,151.98,2601.42
95.28,267.99,138.99,37.73,116.45,103.41,239.41,176.57,152.47,2627.04
96.6,269.3,138.06,37.48,117.18,105.24,241.36,177.25,153.55,2626.07
97.71,276.8,141.15,37.3,118.99,104.82,247.64,179.82,153.97,2647.58
97.86,271.38,141.52,37.6,119.51,105.25,248.95,180.42,154.76,2642.22
98.59,277.97,141.5,37.72,120.84,110.22,250.65,184.9,156.46,2639.44
98.71,275.54,140.14,37.31,120.39,107.22,248.33,182.85,155.35,2629.57
98.21,278.27,140.34,37.41,119.61,105.46,245.95,180.8,154.1,2629.27
98.58,281.97,142.89,37.4,119.63,105.26,248.56,182,153.57,2636.98
98.55,285.9,143.86,37.61,119.92,104.23,250.35,183.41,154.81,2651.5
99,283.16,143.77,37.96,120.42,106.83,250.13,182.25,155.41,2659.99
99.37,289.94,143.42,37.91,119.68,107.43,257.68,181.8,156.74,2664.11
97.78,291.84,148.57,38.15,119.93,107.61,255.56,183.03,153.91,2662.85
97.15,293.88,146.28,37.9,119.53,110.57,255.48,182.13,154,2652.01
98.52,293.94,146.69,38.19,119.73,111.27,257.17,182.58,152.5,2675.81
99.68,296.14,149.77,38.48,119.7,111.03,260.02,184.73,153.33,2690.16
99.15,297.25,150.91,38.3,119.84,111.81,256.48,185.98,153.23,2681.47
98.51,297.9,152.52,38.74,120.89,109.69,255.18,187.31,152.95,2679.25
98.5,295.03,154.64,38.53,124.82,109.57,261.01,188.08,151.5,2684.57
98.74,295.1,155.75,38.55,124.98,108.67,258.97,188.13,152.5,2683.34
98.57,295.36,156.44,38.48,125.98,108.12,257.72,190.36,152.83,2680.5
99.13,295.62,157.52,38.56,125.55,107.64,255.95,190.19,153.13,2682.62
99.7,296.35,158.42,38.59,125.58,107.77,256.5,189.78,154.04,2687.54
99.31,294.91,157.58,38.3,125.19,107.51,254.76,189.53,153.42,2673.61
98.94,296.84,157.04,38.86,127.58,111.8,255.67,188.03,154.25,2695.81
99.55,297.8,157.28,39.17,128.51,112.28,253.29,189.01,158.49,2713.06
100.85,296.67,159.44,38.99,128.11,112.23,256.83,190.51,161.7,2723.99
101.08,308.84,161.96,39.53,127.9,111.62,255.52,192.5,162.49,2743.15
100.15,310.15,166.03,39.94,128.53,110.02,251.81,192.04,163.47,2747.71
100.52,318.43,166.43,39.69,127.84,109.94,253.94,193.1,163.83,2751.29
101.22,320.26,165.87,39.91,128.66,109.47,254.33,191.8,164.18,2748.23
100.73,328.12,169.2,40.1,132.57,110.99,255.13,194.68,164.2,2767.56
100.97,336.21,170.3,40.87,133.6,112.47,257.03,196.42,163.14,2786.24
100.34,335.16,169.31,40.54,132.01,110.69,258.46,196.31,163.85,2776.42
100.76,351.01,168.5,41.2,132.36,111.97,253.65,199.82,168.65,2802.56
99.86,340.16,168.83,41.3,131.59,110.42,250.97,198.33,169.12,2798.03
98.03,337.73,170.41,41.29,131.3,110.59,256.12,201.33,162.37,2810.3
98.32,338,170.89,41.66,132.56,111.1,261.52,204.46,162.6,2832.97
97.98,335.59,169.43,42.1,131.02,110.41,260.09,204.9,166.25,2839.13
99.3,334.69,168.34,42.17,131.39,110.5,265.68,206.22,165.37,2837.54
99.69,343.11,169.37,41.9,130.65,110.55,269.03,205.37,165.47,2839.25
99.63,343.22,167.06,42.56,131.19,112.19,268.14,207.23,167.34,2872.87
99.41,340.82,162.58,42.85,128.48,111.54,272.48,204.92,166.8,2853.53
98.71,337.71,163.76,42.25,125.23,110.11,268.94,201.81,163.62,2822.43
99.4,354.37,162.78,41.54,125.35,108.67,267.89,200.9,163.7,2823.81
100,356.94,162.24,41.7,125.57,110.49,272.23,199.9,162.4,2821.98
96.68,348.91,157.49,40.93,118.58,108.7,260.04,193.97,159.03,2762.13
92.01,328.88,151.08,38.78,112.62,104.7,249.11,183.11,152.53,2648.94
94.18,340.91,156.41,40.17,117.18,106.17,258.7,191.04,155.34,2695.14
93.61,348.12,154.34,40.34,115.29,104.76,257.1,191.29,153.85,2681.66
88.34,329.66,145.99,38.77,112.3,101.35,246.35,181.22,147.59,2581
91.72,332.83,149.21,39.53,113.5,103.09,249.3,184.12,149.51,2619.55
94.7,343.8,152.29,40.6,113.98,103.39,253.16,184.06,151.4,2656
94.56,343.16,153.97,41.23,113.29,104.12,255.53,183.72,150.75,2662.94
96.23,344.85,158.06,42.09,113.63,104.6,262.58,184.69,154.76,2698.63
96.56,356.46,159.98,44.08,112.53,105.18,267.68,185.27,156.01,2731.2
96.79,355.04,156.29,44.33,112.14,106.53,267.62,186.97,156.18,2732.22
97.19,353.35,155.56,44.06,110.98,105.98,264.89,186.71,155.16,2716.26
97.5,352.37,155.23,43.31,109.06,105.05,263.4,183.06,153.96,2701.33
97.35,355.92,158.86,42.94,109.89,105.24,261.43,185.47,153.18,2703.96
98.8,356.66,162.41,44,112.59,107.25,266.77,188.35,155.52,2747.3
101.64,363.48,163.69,45.36,114.6,109.81,271.26,188.46,158.58,2779.6
99.58,364.64,161.26,45.04,113.61,104.87,267.93,184.98,156.55,2744.28
97.51,362.21,154.63,44.78,111.92,103.16,262.93,182.27,155.83,2713.83
95.14,349.69,150.23,43.8,112.04,102.57,256.78,179.64,153.81,2677.67
95.6,344.67,146.38,44.06,111.64,102.99,258.12,178.46,154.49,2691.25
96.66,352.75,151.12,44.52,113.15,103.41,263.12,181.74,156.95,2720.94
96.07,348.92,153.75,44.29,113.65,104.94,266.93,181.64,155.72,2728.12
95.64,347.04,151.51,44.2,113.84,103.59,265.35,178.58,158.32,2726.8
96.59,348.73,153.59,44.34,113.35,104.03,266.34,177.94,156.21,2738.97
99.05,354.52,158.25,45.37,117.22,104.73,270.77,182.16,159.31,2786.57
97.67,344.19,154.5,45.55,116.79,105.17,273.38,179.71,160.26,2783.02
95.37,338.67,153.69,45.16,116.46,103.73,268.53,178.35,159.32,2765.31
94.53,330.26,152.54,45.28,115.13,103.9,264.43,177.41,158.12,2749.48
94.39,329.98,154.57,45.33,115.58,103.24,266.61,178.07,159.61,2747.33
95.61,330.47,156.46,45.01,115.4,102.87,267.6,178.96,160.26,2752.01
94.84,331.76,152.15,44.27,113.89,101.48,262.53,177.1,157.35,2712.92
94.95,337.63,154.06,44.37,114.5,101.35,263.19,178.16,156.2,2716.94
94.74,337.1,155.8,44.31,117.04,101.82,261.85,178.02,156.69,2711.93
91.41,319.61,146.9,43.07,113.7,100.6,252.6,175.29,152.09,2643.69
90.45,321,144.29,42.42,112.98,98.54,245.26,171.8,148.89,2588.26
92.62,328.97,149.19,44.06,115.35,100.65,254.88,176.38,153.37,2658.55
91.42,321.12,146.99,42.68,114.66,99.36,247.26,174.68,151.91,2612.62
92.21,320.02,145.16,41.66,112.1,98.54,249.37,174.76,152.52,2605
93.28,327.88,147.38,42.89,114.04,100.44,251.86,178.24,153.43,2640.87
91,322.44,143.89,41.01,112.24,98.66,247.35,172.9,150.07,2581.88
92.74,330.82,145.06,41.38,114.83,99.42,250.58,173.76,149.85,2614.45
93.58,327.44,145.18,41.2,114.48,100.95,252.62,177.44,154.12,2644.69
94.2,336.4,148.13,41.82,117.29,102.11,255.81,179.13,154.03,2662.84
91.91,326.12,142.99,40.73,114.76,100.35,249.97,174.45,150.57,2604.47
92.14,322.48,143.08,41.17,115.98,99.7,252.19,172.51,152.69,2613.16
93,334.83,148.09,42.51,118.85,101.37,256.57,173.49,155.39,2656.87
91.6,327.36,146.79,42.43,119.25,100.8,252.94,172.86,155.36,2642.19
93.35,337.48,150.14,43.34,119.23,100.39,259.59,173.36,158.07,2663.99
93.03,329.28,150.23,43,119.92,100.35,255.92,172.8,156.71,2656.3
93.6,331.77,152.14,43.3,120.7,100.24,257.88,174.43,157.89,2677.84
93.86,336.72,153.31,44.59,121.46,102.17,253.63,174.91,160.91,2706.39
95.15,341,155.95,44.63,123.82,101.21,254,179.85,148.79,2708.64
102.37,340.64,155.7,44.56,123.71,100.89,254.17,177.08,147.7,2693.13
100.79,338.67,153.25,44.09,122.31,100.24,251.96,177.01,144.9,2670.14
100.61,338.84,153.99,44.25,123.58,100.15,246.67,177.66,145.86,2670.29
100.44,329.06,144.44,43.74,122.54,99.46,242.49,176.26,145.56,2634.56
98.78,342.86,145.19,43.71,122.72,101.15,239.23,177.39,145.94,2639.4
100.23,342.79,146.31,44.21,124.22,99.84,240.09,185.72,146.72,2666.94
99.61,340.88,144.72,44.71,126.62,99.23,239.8,186.46,146.48,2669.91
98.75,333.56,144.36,44.29,125.11,100.33,238.33,184.8,144.96,2648.05
98.58,329.54,144.42,44.83,124.86,100.06,236.67,184.63,145,2654.8
97.63,324.19,143.86,43.86,125.49,99.62,234.05,185.91,142.45,2635.67
97.14,330.69,143.78,44.44,126.01,98.76,233.41,183.19,141.99,2629.73
98.35,334.43,146.37,45.3,125.53,101.15,234.94,185.03,143.91,2663.42
98.58,340.43,149.82,45.73,124.94,102.48,237.2,183.56,143.22,2672.63
99.74,338.37,149.93,45.71,126.57,101.79,237,185.04,143,2671.92
100.5,344.5,152.61,46.04,128.72,99.97,241.73,186.36,142.61,2697.79
101.38,344.07,153.97,46.3,128.82,101.68,243.44,187.16,144.24,2723.07
101.42,342.46,154.86,45.93,129.84,102.07,242.92,190.31,144.14,2727.72
101.29,344.59,155.28,45.7,130.39,102.44,243.91,191.08,144.3,2730.13
100.74,342.12,152.59,45.48,129.74,102.92,241.56,187.98,143.74,2711.45
100.59,340.97,153.8,45.16,129.56,105.04,240.96,186.38,144.63,2722.46
101.22,344.14,153.69,43.46,129.46,104.34,239.1,185.33,144.5,2720.13
100.99,351.23,155.71,43.21,127.86,103.93,237,187.42,144.08,2712.97
102.04,363.92,158.92,43.75,129.37,104.06,237.7,189.79,145.49,2733.01
102.7,355.02,156.2,43.65,128.23,104.07,238,186.87,145.09,2724.44
101.93,359.21,157.74,43.68,128.7,102.89,237.81,186.67,144.67,2733.29
102.01,359,157.7,43.57,126.61,102.11,236.1,187.15,144.07,2727.76
101.1,360.09,155.85,43.26,122.19,102.2,235.01,186.85,143.64,2721.33
97.72,352.48,153.62,42.97,121.39,99.69,227.03,185,141.22,2689.86
98.99,358.19,155.46,42.85,125.16,99.98,229.16,187.09,142.62,2724.01
98.3,352.16,151.91,42.71,124.3,99.47,225.88,186.55,141.31,2705.27
98.25,356.72,153.52,43.66,123.85,99.36,228.35,187.35,141.95,2734.62
99.45,360.73,152.5,43.58,122.26,100.24,229.89,191.36,143.04,2746.87
99.31,360.1,153.01,43.67,122.73,99.94,228.34,191.94,143.7,2748.8
100.97,371.56,156.51,44.26,123.38,101.91,232.23,193.59,144.71,2772.35
101.48,368.53,156.29,43.65,126.96,102.47,233.45,196.17,145.36,2770.37
101,369.5,155.32,43.48,126.44,103.98,233.39,198.33,146.14,2779.03
101.2,370.94,156.3,43.69,127.56,104.35,234.09,199.64,146.58,2782
100.73,370.62,157.49,43.94,127.08,104.33,232.63,201.31,146.87,2786.85
100.02,363.85,154.71,44.01,127.07,106.31,233.83,200.31,146.35,2775.63
99.76,362.42,153.14,44.69,126.51,108.75,233.65,199.67,145.2,2782.49
98.52,357.88,150.02,44.25,124.04,108.85,231.92,200.54,145.39,2779.66
98.47,354.74,148.68,44.21,125.97,107.06,231.39,200.69,144.48,2773.75
97.14,341.12,143.3,43.82,125.54,106.1,228.32,199.21,143.9,2762.59
96.42,342.69,143.13,43.74,125.29,107.15,227.82,199.08,142.63,2767.32
96.63,337.66,139.53,43.16,122.59,105.89,226.98,200.31,141.25,2749.76
97.23,338.91,139.94,43.2,125.1,106.34,226.02,197.41,141.28,2754.88
98.54,331.2,136.58,42.29,122.61,104.45,221.54,196.38,138.79,2717.07
98.21,331.3,135.54,42.55,124.16,104.26,221.58,196.36,139.08,2723.06
96.96,329.82,134.61,42.33,126,103.96,220.18,195.02,137.48,2699.63
96.97,334.65,136.03,42.94,125.66,104.77,223.42,195.21,140.04,2716.31
98,335.51,135.67,43.03,126.43,104.81,220.57,195.1,139.7,2718.37
99,336.08,136.29,42.81,124.25,105.33,223.26,194.02,139.86,2726.71
97.84,332.93,133.83,42.67,124.73,104.04,220.38,193.62,139.57,2713.22
98.53,333.18,135.81,42.56,123.98,105.34,220.74,194.41,141.43,2736.61
98.52,334.64,135.41,42.71,124.14,104.78,221.79,194.48,142.48,2759.82
99.91,341.92,140.97,42.67,125.99,106.02,227.99,196.08,144.39,2784.17
99.91,347.16,141.25,42.86,127.59,106.03,226.85,197.61,144.71,2793.84
100.3,340.6,136.76,42.57,123.52,108.04,225.66,196.95,144.94,2774.02
101.15,346.03,139.42,43.58,124.26,108.25,227.22,197.95,146.45,2798.29
100.5,350.79,140.75,41.78,124.04,110,226.41,198.69,145.9,2801.31
100.69,356.1,138.08,42.5,122.98,110.2,231.44,198.88,145.46,2798.43
101.15,356.88,138.95,42.34,121.91,110.3,231.02,201.1,143.49,2809.55
102.98,360.23,141.12,42.21,121.53,110.69,231.24,200.97,144.52,2815.62
100.17,355.33,139.42,42.4,121.67,112.13,229.63,202.63,149.24,2804.49
100.15,354.9,136.82,42.01,122.27,111.48,231.69,202.45,146.35,2801.83
101.22,353.27,136.28,42.06,121.33,111.09,233.76,202.23,145.7,2806.98
101.71,358.27,137.97,42.39,123.85,110.7,235.88,201.99,146.38,2820.4
102.63,355.92,140.48,43.16,124.9,111.18,236.69,201,146.62,2846.07
102.5,359.32,142.58,43.53,123.95,113.51,237.11,199.4,146.71,2837.44
103.85,360.65,142.56,42.57,125.97,112.62,237.64,197.14,145.15,2818.82
100.85,351.06,139.75,42.17,127.83,112.63,238.95,197.28,145.49,2802.6
99.52,356.3,143.8,42.29,126.27,113.56,237.43,197.52,144.93,2816.29
99.45,352.76,138.54,41.86,125.39,112.97,236.04,196.3,143.5,2813.36
99.73,349.73,138.01,42.53,123.76,112.75,233.99,195.66,142.96,2827.22
100.79,348.44,138.51,42.83,124.05,114.09,234.09,195.64,147.7,2840.35
100.92,346.57,139.48,43.3,124.3,115.94,235.93,195.69,146.03,2850.4
101.97,350.76,142.38,43.58,125.18,116.56,237.83,197.05,147.01,2858.45
102.78,347.78,139.71,43.84,123.88,113.98,236.37,198.02,146.89,2857.7
102.99,343.72,138.52,43.78,122.53,114.16,233.78,198.08,144.77,2853.58
101.58,339.41,135.92,43.78,123.34,112.68,229.61,196.3,144.48,2833.28
101.81,338.36,135.02,43.75,122.44,112.12,226.86,194.14,142.71,2821.93
102.18,339.14,134.92,44,122.58,112.75,229.56,193.1,143.36,2839.96
101.51,331.76,132.02,43.86,117.94,112.85,229.25,193.99,143.91,2818.37
102.65,345.98,136.26,45.16,117.66,112.48,233,195.39,145.34,2840.69
103.03,346.4,139.34,45.87,117.8,112.48,233.38,195.56,146.06,2850.13
103.83,350.74,138.67,46.22,117.75,111.99,235.78,197.93,146.51,2857.05
104.81,353.77,139.99,45.78,117.94,112.39,238.65,200.23,145.97,2862.96
105.83,350.03,139.63,45.99,118.92,111.94,239.34,198.97,145.24,2861.82
105.37,347.48,136.79,46.02,118.1,112,236.34,200.16,145.37,2856.98
105.76,349.38,138.21,46.32,119.01,111.93,235.11,201.3,146.04,2874.69
107.05,353.74,142.04,46.59,120.35,112.33,242.6,201.98,146.69,2896.74
107.28,351.21,142,46.95,119.86,112.58,242.37,201.97,146.59,2897.52
106.71,350.19,141.86,47.48,120.22,112.45,241.4,201.68,147.54,2914.04
106.23,346.9,139.06,47.15,119.81,111.92,239.4,199.26,145.93,2901.13
105.98,342.79,138.85,47.77,118.46,112.02,237.81,200.77,146.48,2901.52
107.01,346.25,138.24,47.73,118.87,110.85,237.66,205.08,145.68,2896.72
105.68,346.68,140.59,47.27,118.92,109.87,237.56,204.15,146.66,2888.6
105.4,351.27,141.57,47.28,115.23,110.26,234.52,205.89,146.39,2878.05
106.08,349.28,141.32,47.05,114.6,110.97,233.91,206.23,145.45,2871.68
107.29,341.86,142.05,47.07,114.48,110.68,231.91,210.69,145.65,2877.13
108.31,345.25,142.03,47.03,115.02,109.6,230.21,213.85,146.49,2887.89
107.88,353.41,144.28,46.89,115.79,109.46,228.15,211.98,146.57,2888.92
108.66,355.46,145.54,47.24,116.3,110.67,228.33,209.45,148.95,2904.18
109.56,359.8,144.9,47.4,117.38,109.26,229.24,209.07,148.33,2904.98
109.2,355.96,146.22,47.11,117.51,109.36,227.89,208.4,147.94,2888.8
109.64,363.58,149.07,47.46,118.13,109.53,228.89,211.02,148.56,2904.31
110.1,365.22,152.76,47.28,119.51,109.79,235.58,211.68,149.06,2907.95
111.11,367.46,156,47.73,119.42,111.62,237.4,211.06,151.15,2930.75
110.9,372.23,156.38,48.56,121.13,110.4,235.34,212.39,151.35,2929.67
109.85,367.99,154,48.44,122.62,112.77,232.9,207.99,150.03,2919.37
109.87,367.23,154.09,48.47,123.37,113.63,232.5,207.46,148.91,2915.56
108.01,365.03,153.17,48.41,121.95,115.21,228.88,207.52,151.61,2905.97
107.85,367.39,152.47,48.33,122.47,116.04,227.74,206.84,151.5,2914
106.49,371.9,152.49,48.65,122.28,116.94,224.24,207.15,151.21,2913.98
107.9,382.29,152.28,48.87,124.39,116.24,225.33,207.6,153,2924.59
108.39,386.37,154.82,49.01,124.74,117.66,226.07,204.75,153.75,2923.43
108.45,392.3,158.22,49.14,125.31,116.91,227.78,203.74,153.22,2925.51
107.74,389.99,156.75,48.38,124.95,116.13,227.48,198.85,151.31,2901.61
107.23,386.47,153.31,48.13,125.33,114.78,225.71,196.38,149.03,2885.57
106.99,385.77,153.35,47.52,124.84,116.02,225.35,198.41,148.39,2884.43
106.66,385.44,149.46,47.49,126.82,116.89,222.91,195.75,147.24,2880.34
103.57,367.47,143.72,45.63,122.6,112.86,214.89,193.7,142.69,2785.68
101.58,358.11,140.97,44.12,118.43,111.15,212.97,189.74,139.02,2728.37
103,360.11,142.07,45.71,117.77,112.61,213.87,192.47,140.85,2767.13
102.62,358.88,141.8,44.67,116.94,113.44,215.22,191.17,141.13,2750.79
104.27,368.25,143.71,45.82,117.51,116.19,221.7,193.58,145.12,2809.92
104.34,365.5,141.34,45.94,117.29,117.13,228.28,185.17,134.05,2809.21
102.84,359.35,135.8,45.46,117.47,116.18,224.95,180.44,130.55,2768.78
106.73,356.26,131.32,45.34,118.14,118.9,226.96,179.85,129.1,2767.78
104.51,355.98,128.71,45.76,117.21,118.27,221.6,178.75,130.02,2755.88
104.38,350.05,118.98,45.42,113.4,117.85,218.56,178.53,131.21,2740.69
101.84,354.65,112.34,44.07,110.21,111.61,209.18,176.97,127.21,2656.1
103.6,363.77,115.63,45.47,111.58,114.16,214.01,179.07,126.45,2705.57
101.25,359.27,115.05,44.25,111.53,113.19,212.36,172.23,124.79,2658.69
101.19,335.59,113.98,43.84,108.93,113.04,214.49,173.2,119.64,2641.25
102.08,349.91,117.46,44.58,110.85,114.76,219.28,176.24,115.4,2682.63
102.73,354.86,121.32,45.75,111.65,114.83,225.37,175.88,115.43,2711.74
104.04,363.07,124.7,45.65,111.17,116.1,226.97,180.46,116.83,2740.37
103.71,357.75,125.79,45.48,114.73,115.18,229.69,179.93,115.67,2723.06
105.21,361.98,126.41,46.14,118.94,115.45,228.72,182.19,120.06,2738.31
104.98,366.47,129.33,46.5,118.9,116.71,228.2,182.01,123.12,2755.45
107.31,372.02,135.1,47.9,120.87,117.05,231.28,187.23,124.84,2813.89
108.5,370.77,131.39,48.44,119.36,116,231.65,188,123.38,2806.83
108.28,369.34,126.91,47.11,119.51,118,222.65,185.99,123.54,2781.01
106.49,357.03,125,45.62,117.39,116.7,206.05,179.43,120.9,2726.22
107.86,349.51,125.96,45.12,115.35,116.85,205.05,179,120.84,2722.18
107.77,344.72,125.1,44.33,115.72,117.12,202.49,179.9,120.2,2701.58
109.6,341.57,129.42,46.77,116.95,117.11,203.74,177.36,121.44,2730.2
109.46,335.95,129.96,46.35,119.06,116.19,202.12,177.02,121.57,2736.27
108.25,320.94,125.98,45.75,119.42,115.42,198.22,173.59,120.31,2690.73
106.09,317.7,122.27,44.49,116.1,111.87,191.34,169.05,117.2,2641.89
106.5,317.32,123.87,44.89,117.57,113.03,192.6,169.3,118.57,2649.93
105.74,312.32,122.32,44.54,113.6,112.08,189.1,168.85,117.19,2632.56
109.68,316.36,124.8,45.57,114.98,112.55,194.34,169.82,119.56,2673.45
110.11,318.03,124.6,46.12,115.21,113.9,193.65,173.22,120.03,2682.17
112.89,333.5,130.77,47.29,118.14,116.1,198.35,177.43,123,2743.79
111.31,342.56,130.23,47.34,118.85,116.61,194.85,175.66,121.48,2737.76
112.27,346.76,135.67,47.87,118.94,115.49,190.69,180.32,124.27,2760.17
112.36,359.96,138.95,48.74,120.67,115.74,191.63,181.74,125.31,2790.37
107.64,342.5,129.32,47.35,117.24,112.87,184.31,175.3,121.6,2700.06
108.25,331.9,128.37,48.39,115.91,114.33,184.09,175.96,123.91,2695.95
106.68,323.22,123.55,46.44,115.49,111.98,179.67,172.79,119.34,2633.08
105.79,326.35,123.39,46.86,114.94,111.86,178.83,171.69,121.13,2637.72
105.4,322.03,123.24,47.09,115.47,111.97,176.8,172.21,120.89,2636.78
107.48,326.69,125.37,47.42,115.62,112.21,176.7,174.21,121.16,2651.07
106.7,325.47,125.9,47.47,115.94,113.39,175.92,173.87,120.73,2650.54
105.7,318.75,126.77,45.82,113.83,112.2,172.77,172.29,119.9,2599.95
101.18,316.13,124.47,44.2,112.45,110.62,168.01,167.97,116.1,2545.94
101.02,328.06,124.27,44.06,109.74,109.45,171.5,170.04,116.65,2546.16
98.77,319.55,122.33,43.14,107.83,109.22,169.25,167.56,116.43,2506.96
95.77,313.05,121.55,42.49,104.98,107,168.41,164.16,113.02,2467.42
91.33,304.55,120.07,41.85,104.21,104.22,160.05,160.48,110.94,2416.62
89.5,294.16,116.95,40.28,100.99,100.35,156.35,158.14,107.57,2351.1
93.84,313.93,124.76,42.47,107.39,105.83,162.93,168.28,111.39,2467.7
94.68,317.14,126.67,42.91,109.32,106.52,165.41,170.32,113.78,2488.83
94.42,316.38,125.61,42.77,108.65,107.3,163.03,170.22,113.03,2485.74
95.32,322.5,127.07,43.33,108.79,109.65,167.05,171.82,113.67,2506.85
95.68,323.81,126.38,42.95,110.69,108.97,172.03,172.41,115.21,2510.03
93.43,310.9,121.51,41.07,108.57,106.33,169.51,168.61,112.91,2447.89
97.64,327.08,128.15,42.92,110.82,109.61,175.05,173.62,117.32,2531.94
98.17,328.11,128.23,43.21,112.26,110.56,176.02,177.04,118.15,2549.69
98.65,340.53,129.77,43.56,111.77,111.42,175.37,177.89,119.83,2574.41
98.83,343.83,130.27,43.32,113.27,112.67,176.47,179.73,120.69,2584.96
98.26,352.61,132.96,43.24,113.45,112.8,176,179.06,121.79,2596.64
98.55,352.9,132.1,43.49,112.54,112.65,176.93,179.41,121.46,2596.26
98.44,350.36,131.8,43.21,111.72,112.42,178.72,178.81,120.39,2582.61
97.99,352.24,130.69,44.02,112.12,111.76,179.91,176.47,121.73,2610.3
99.41,352.06,131.66,43.96,111.4,110.91,197.08,177.04,121.62,2616.1
99.49,359.09,134.54,44.21,111.96,111.01,199.09,174.87,122.19,2635.96
100.48,364.73,136.6,45.03,114.37,111.04,202.54,179.58,123.82,2670.71
99.83,357.9,132.24,44.78,112.34,110.6,197.68,177.11,122.52,2632.9
99.71,358.61,131.82,45.46,111.39,111.12,196.9,176.89,132.89,2638.7
99.72,358.27,132.73,45.61,113.51,110.55,197.8,177.29,132.53,2642.33
100.77,364.2,136.86,46.13,113.22,111.09,200.74,180.4,133.97,2664.76
100.38,362.97,124.37,45.75,112.17,110.81,199.72,179.83,134.27,2643.85
100.96,364.91,126.53,45.96,111.83,110.9,200.5,179.69,134.33,2640
102.67,387.72,130.11,46.71,113.01,110.13,202.48,182.18,134.38,2681.05
102.7,385.62,133.16,47.29,114.65,111.52,198.01,183.53,134.42,2704.1
103.06,387.43,130.91,47.34,118.37,111.3,196.54,184.37,134.1,2706.53
103.42,397,130.88,47.35,119.74,111.8,197.72,186.43,135.19,2724.87
103.9,410.18,132,47.26,119.48,112.66,198.01,186.39,135.55,2737.7
104.96,411.11,130.54,47.48,118.88,111.41,196.62,184.72,136.32,2731.61
104.39,405.17,128.78,46.7,118.23,110.95,193.07,184.07,133.19,2706.05
104.52,404.91,128.6,47.19,117.58,111.51,191.67,184.54,133.71,2707.88
105.41,403.95,128.93,47.58,116.95,109.44,191.33,182.92,133.99,2709.8
107,410.72,132.67,47.89,118.72,109.2,194.49,185.52,136.05,2744.73
107.56,410.58,133.1,47.5,119.57,110.2,194.69,188.41,137.52,2753.03
106.62,409.82,132.62,48.4,118.16,110.66,192.53,187.71,136.48,2745.73
107.38,417.97,136.2,49.43,119.35,112.59,198.5,192.39,138.03,2775.6
106.5,416.26,135.8,49.65,119.31,113.51,198.67,192.33,138.7,2779.76
106.78,421.55,140.31,49.63,120.28,113.68,198.6,191.85,138,2784.7
106.61,417.58,138.88,49.41,119.14,114.29,196.36,191.82,137.84,2774.88
107.44,424.05,138.68,50.11,119.39,115.25,196,192.39,139.25,2792.67
